148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 265
148.63705006816943 (40.68488, -73.92887) (40.76801, -73.96361) 166
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 150
148.63712646254857 (40.76801, -73.96361) (40.68408, -73.9288) 150
149.9015338148875 (40.78358, -73.94449) (40.68789, -73.9505) 32
159.63786587855867 (40.75744, -73.93128) (40.67574, -73.95434) 32
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 150
158.22100277641448 (40.70427, -73.925) (40.77855, -73.97803) 32
150.39841921723524 (40.68753, -73.92684) (40.77435, -73.95539) 32
148.6404074439605 (40.76801, -73.96361) (40.68466, -73.9296) 9999
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 9999
149.69761517969522 (40.7711, -73.95675) (40.6857764146033, -73.9259308064747) 33
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 9999
150.1665316984146 (40.70457, -73.96231) (40.78213, -73.91283) 110
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 145
148.641155519865 (40.68494, -73.92947) (40.76801, -73.96361) 9999
152.81963559402232 (40.77707, -73.90232) (40.71065, -73.95813) 32
156.17882737265893 (40.68369, -73.91665) (40.74807, -73.95683) 33
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 9999
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 9999
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 121
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 9999
148.6404074439605 (40.68466, -73.9296) (40.76801, -73.96361) 9999
149.87937128912898 (40.77597, -73.94856) (40.68273, -73.94923) 64
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 136
173.19031566075748 (40.72242, -73.94523) (40.74289, -73.83475) 33
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 9999
148.63712646254857 (40.76801, -73.96361) (40.68408, -73.9288) 9999
148.6404074439605 (40.76801, -73.96361) (40.68466, -73.9296) 9999
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 134
148.63712646254857 (40.76801, -73.96361) (40.68408, -73.9288) 9999
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 9999
152.7670078747508 (40.77191, -73.89447) (40.70635, -73.96788) 32
148.63712646254857 (40.76801, -73.96361) (40.68408, -73.9288) 9999
148.63712646254857 (40.68408, -73.9288) (40.76801, -73.96361) 9999
149.78558979066077 (40.67686, -73.92976) (40.76803, -73.95457) 51
148.9085564072875 (40.68072, -73.93035) (40.76616, -73.95855) 82
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 143
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 9999
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 134
148.6404074439605 (40.76801, -73.96361) (40.68466, -73.9296) 9999
149.22447146635864 (40.68763, -73.94493) (40.77769, -73.94881) 9999
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 137
149.2195843525731 (40.77667, -73.94955) (40.68656, -73.94428) 9999
150.15760514430264 (40.76806, -73.95025) (40.68, -73.94376) 60
149.2225220673019 (40.77613, -73.94977) (40.68681, -73.94401) 9999
149.22219630960686 (40.77613, -73.94977) (40.68653, -73.94459) 9999
148.63712646254857 (40.76801, -73.96361) (40.68408, -73.9288) 9999
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 9999
151.8422506977147 (40.7856, -73.9165) (40.69397, -73.96455) 51
149.2195843525731 (40.77667, -73.94955) (40.68656, -73.94428) 9999
149.94973838983674 (40.67862, -73.9273) (40.76904, -73.95435) 55
149.2225220673019 (40.77613, -73.94977) (40.68681, -73.94401) 9999
148.63712646254857 (40.68408, -73.9288) (40.76801, -73.96361) 9999
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 9999
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 9999
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 9999
149.22447146635864 (40.68763, -73.94493) (40.77769, -73.94881) 9999
