148.63705006816943 (40.68488, -73.92887) (40.76801, -73.96361) 166
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 150
148.63712646254857 (40.76801, -73.96361) (40.68408, -73.9288) 150
149.9015338148875 (40.78358, -73.94449) (40.68789, -73.9505) 32
159.63786587855867 (40.75744, -73.93128) (40.67574, -73.95434) 32
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 150
158.22100277641448 (40.70427, -73.925) (40.77855, -73.97803) 32
150.39841921723524 (40.68753, -73.92684) (40.77435, -73.95539) 32
148.6404074439605 (40.76801, -73.96361) (40.68466, -73.9296) 9999
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 9999
149.69761517969522 (40.7711, -73.95675) (40.6857764146033, -73.9259308064747) 33
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 9999
150.1665316984146 (40.70457, -73.96231) (40.78213, -73.91283) 110
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 145
148.641155519865 (40.68494, -73.92947) (40.76801, -73.96361) 9999
152.81963559402232 (40.77707, -73.90232) (40.71065, -73.95813) 32
156.17882737265893 (40.68369, -73.91665) (40.74807, -73.95683) 33
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 9999
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 9999
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 121
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 9999
