148.6224237287206 (40.684389874008026, -73.92905352402211) (40.768218063311195, -73.96282894922774) 9999
148.6223864777603 (40.68437092312651, -73.92905100755036) (40.768213152336386, -73.96281643442973) 9999
148.6224140179687 (40.768086508414406, -73.9627055973697) (40.68427007554299, -73.92916382398202) 9999
148.62222769716954 (40.7681524501251, -73.96277677188468) (40.6843096487675, -73.92909894205297) 9999
148.62222512609947 (40.76814640404761, -73.96277106001035) (40.684303488414216, -73.92910438405828) 951
148.62222547821023 (40.76814417283334, -73.96277313470381) (40.68430123720063, -73.92910228124872) 9999
148.6222251260996 (40.684303485952924, -73.92910438077801) (40.768146406617845, -73.96277106226924) 9999
148.6222251261001 [(40.68430348735327, -73.92910438774074), (40.768146403866346, -73.96277105805278)]
148.62222512609947 [(40.68430348468257, -73.92910438418946), (40.76814640514293, -73.96277105835645)]
148.62222512609986 [(40.68430348375292, -73.92910438450987), (40.7681464004809, -73.9627710590107)]
148.62222512609966 [(40.6843034854982, -73.92910438541305), (40.76814640575739, -73.96277105880316)]
148.6222251260994 [(40.768146405770366, -73.96277105873774), (40.68430348342773, -73.92910438486015)]
148.6222251260994 [(40.68430348751291, -73.92910438269979), (40.768146408176634, -73.96277106043216)]
148.6222251260994 [(40.6843034809338, -73.92910438497375), (40.76814640676142, -73.96277106073906)]
148.6222251260997 [(40.76814640613173, -73.96277105872409), (40.68430348434319, -73.92910438475099)]
148.62222512609966 [(40.76814640732496, -73.96277105764287), (40.684303482064486, -73.9291043805502)]
148.6222251260999 [(40.68430348045327, -73.92910438137241), (40.768146405558944, -73.96277105877247)]
148.62222512609975 [(40.68430348189334, -73.92910438496561), (40.76814640415047, -73.96277105829523)]
148.62222512609992 [(40.6843034859952, -73.92910438130322), (40.76814640712159, -73.96277105727262)]
148.62222512609998 [(40.7681464039703, -73.96277105997432), (40.684303484608165, -73.92910437776284)]
148.62222512609964 [(40.768146402765716, -73.96277106256093), (40.684303485465655, -73.92910438343205)]
148.62222512609955 [(40.76814640337949, -73.96277105918793), (40.68430348538544, -73.92910438495026)]
148.6222251260997 [(40.768146406234045, -73.96277105985592), (40.68430347998089, -73.92910438380797)]
148.62222512609966 [(40.684303482740184, -73.92910438282216), (40.76814640493247, -73.96277105793321)]
148.62222512609947 [(40.76814640275628, -73.96277106040317), (40.68430348382737, -73.92910438409423)]
148.6222251261002 [(40.768146404755285, -73.96277106482631), (40.68430348827851, -73.92910438329274)]
148.62222512609938 [(40.76814640667656, -73.96277105978857), (40.68430348302808, -73.92910438238503)]
148.62222512609955 [(40.68430348091681, -73.92910438246292), (40.7681464056243, -73.96277105946757)]
148.62222512609986 [(40.76814640482742, -73.962771058905), (40.6843034817323, -73.92910438136074)]
148.62222512609966 [(40.768146406179184, -73.96277105909498), (40.68430348263878, -73.92910438472681)]
148.62222512609966 [(40.68430348360071, -73.92910438065904), (40.768146408047386, -73.96277106206253)]
148.62222512609998 [(40.68430348736215, -73.9291043829947), (40.76814640769168, -73.96277106136847)]
148.6222251260994 [(40.76814640521217, -73.96277106025957), (40.684303484433926, -73.9291043839047)]
148.62222512609944 [(40.76814640520586, -73.96277106039342), (40.684303483562175, -73.9291043826569)]
148.6222251260994 [(40.768146404683456, -73.9627710613492), (40.684303483585246, -73.92910438483268)]
148.62222512609958 [(40.76814640516239, -73.96277105935201), (40.684303484064394, -73.92910438490708)]
148.62222512609958 [(40.76814640529406, -73.96277105990028), (40.68430348231861, -73.92910438286128)]
148.6222251261 [(40.768146404934235, -73.96277106013802), (40.68430348262987, -73.92910437807302)]
148.62222512609998 [(40.68430348196648, -73.92910438131804), (40.768146404546236, -73.96277105706501)]
148.6222251260993 [(40.76814640553696, -73.96277105967339), (40.6843034843565, -73.92910438262713)]
