48.43388155468331 [(40.738824368171386, -73.9874913196397), (40.64626142650302, -73.99112734073886), (40.85259954573847, -73.90034248046672), (40.69762364909166, -73.80457143209894), (40.69073385349553, -73.93588594205416), (40.78429664592915, -73.939345707308)]
49.75310439577853 [(40.71221364319806, -73.91734200987561), (40.66737050436666, -73.95853695981278), (40.81318409891562, -73.93446777547925), (40.69437867680824, -73.7966428642321), (40.74052695058638, -73.98395787270118), (40.617385174577656, -74.05937708739353)]
47.6778860572506 [(40.81840055839365, -73.9376400144295), (40.64595455509609, -73.99216740047953), (40.742220628360975, -73.9847836526189), (40.682712043913035, -73.78980320478978), (40.75391540037838, -73.89199437099725), (40.68936927712844, -73.93716873037314)]
48.43058654900072 [(40.738366969355376, -73.98684252838682), (40.79132922891732, -73.94526227436054), (40.85470779846934, -73.89537455131472), (40.6976675884649, -73.9290031515898), (40.69739976286849, -73.8030977503488), (40.65246472096413, -73.98342436330402)]
47.677879507109495 [(40.742230291410756, -73.98478597459804), (40.81840764620512, -73.9376373406082), (40.64602815272332, -73.9920631669847), (40.682712043913035, -73.78980320478978), (40.68940480395317, -73.9371440635781), (40.75391540037838, -73.89199437099725)]
48.43396017857747 [(40.78434053576721, -73.93941653614404), (40.64626142650302, -73.99112734073886), (40.738821222052636, -73.98749608829999), (40.85262216723524, -73.90029711047258), (40.697812963424234, -73.8048989584637), (40.690720226543235, -73.93591854881045)]
47.67788647156936 [(40.64595455509609, -73.99216740047953), (40.75391540037838, -73.89199437099725), (40.68936927712844, -73.93716873037314), (40.81841503791266, -73.93763515557178), (40.682712043913035, -73.78980320478978), (40.74222595073698, -73.98477833986212)]
47.677879507109495 [(40.68940480395317, -73.9371440635781), (40.682712043913035, -73.78980320478978), (40.81840764620512, -73.9376373406082), (40.742230291410756, -73.98478597459804), (40.75391540037838, -73.89199437099725), (40.64602815272332, -73.9920631669847)]
47.67788647156935 [(40.74222595073698, -73.98477833986212), (40.75391540037838, -73.89199437099725), (40.682712043913035, -73.78980320478978), (40.81841503791266, -73.93763515557178), (40.68936927712844, -73.93716873037314), (40.64595455509609, -73.99216740047953)]
48.43058654900073 [(40.65246472096413, -73.98342436330402), (40.6976675884649, -73.9290031515898), (40.69739976286849, -73.8030977503488), (40.738366969355376, -73.98684252838682), (40.79132922891732, -73.94526227436054), (40.85470779846934, -73.89537455131472)]
48.47521044409447 [(40.64572712458426, -73.99172596988116), (40.739107963499016, -73.98761887972222), (40.68988235361025, -73.93671235385776), (40.69714376031802, -73.80388863917698), (40.77678196128929, -73.93685463929712), (40.841330034757206, -73.91703625430183)]
49.75310439577853 [(40.69437867680824, -73.7966428642321), (40.74052695058638, -73.98395787270118), (40.617385174577656, -74.05937708739353), (40.66737050436666, -73.95853695981278), (40.71221364319806, -73.91734200987561), (40.81318409891562, -73.93446777547925)]
49.753104395778536 [(40.69437867680824, -73.7966428642321), (40.74052695058638, -73.98395787270118), (40.71221364319806, -73.91734200987561), (40.617385174577656, -74.05937708739353), (40.81318409891562, -73.93446777547925), (40.66737050436666, -73.95853695981278)]
47.6778860572506 [(40.742220628360975, -73.9847836526189), (40.68936927712844, -73.93716873037314), (40.682712043913035, -73.78980320478978), (40.75391540037838, -73.89199437099725), (40.64595455509609, -73.99216740047953), (40.81840055839365, -73.9376400144295)]
